회차년도,회차,검체명,검사명,제조사,Unacceptable rate
2025,01,CU-25-03,-Leukocyte,Arkray Inc,0
2025,01,CU-25-03,-Leukocyte,Beckman Coulter Inc.,100
2025,01,CU-25-03,-Leukocyte,Eiken,0
2025,01,CU-25-03,-Leukocyte,Others,10.26
2025,01,CU-25-03,-Leukocyte,Roche,0
2025,01,CU-25-03,-Leukocyte,Siemens Healthineers,0
2025,01,CU-25-03,-Leukocyte,Sysmex,0
2025,01,CU-25-03,-Leukocyte,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-03,-Leukocyte,YD diagnostics,1.39
2025,01,CU-25-03,-Leukocyte,㈜디에프아이,7.5
2025,01,CU-25-03,-Leukocyte,청도제약,0
2025,01,CU-25-01,-Specific Gravity,,0
2025,01,CU-25-01,-Specific Gravity,Abbott,0.41
2025,01,CU-25-01,-Specific Gravity,Arkray Inc,0
2025,01,CU-25-01,-Specific Gravity,Beckman Coulter Inc.,0
2025,01,CU-25-01,-Specific Gravity,Eiken,0
2025,01,CU-25-01,-Specific Gravity,Others,0
2025,01,CU-25-01,-Specific Gravity,Roche,15.08
2025,01,CU-25-01,-Specific Gravity,Siemens Healthineers,0.84
2025,01,CU-25-01,-Specific Gravity,Sysmex,3.59
2025,01,CU-25-01,-Specific Gravity,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-01,-Specific Gravity,YD diagnostics,22.58
2025,01,CU-25-01,-Specific Gravity,㈜디에프아이,0.63
2025,01,CU-25-01,-Specific Gravity,청도제약,0
2025,01,CU-25-02,-Specific Gravity,,0
2025,01,CU-25-02,-Specific Gravity,Abbott,0
2025,01,CU-25-02,-Specific Gravity,Arkray Inc,0
2025,01,CU-25-02,-Specific Gravity,Beckman Coulter Inc.,0
2025,01,CU-25-02,-Specific Gravity,Eiken,0
2025,01,CU-25-02,-Specific Gravity,Others,0
2025,01,CU-25-02,-Specific Gravity,Roche,0.56
2025,01,CU-25-02,-Specific Gravity,Siemens Healthineers,12.61
2025,01,CU-25-02,-Specific Gravity,Sysmex,5.39
2025,01,CU-25-02,-Specific Gravity,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-02,-Specific Gravity,YD diagnostics,0.61
2025,01,CU-25-02,-Specific Gravity,㈜디에프아이,0.63
2025,01,CU-25-02,-Specific Gravity,청도제약,0
2025,01,CU-25-03,-Specific Gravity,,0
2025,01,CU-25-03,-Specific Gravity,Abbott,1.66
2025,01,CU-25-03,-Specific Gravity,Arkray Inc,0
2025,01,CU-25-03,-Specific Gravity,Beckman Coulter Inc.,0
2025,01,CU-25-03,-Specific Gravity,Eiken,0
2025,01,CU-25-03,-Specific Gravity,Others,0
2025,01,CU-25-03,-Specific Gravity,Roche,0.56
2025,01,CU-25-03,-Specific Gravity,Siemens Healthineers,5.88
2025,01,CU-25-03,-Specific Gravity,Sysmex,8.38
2025,01,CU-25-03,-Specific Gravity,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-03,-Specific Gravity,YD diagnostics,0
2025,01,CU-25-03,-Specific Gravity,㈜디에프아이,0.63
2025,01,CU-25-03,-Specific Gravity,청도제약,0
2025,01,CUI-25-01,Urine sediment,,4.41
2025,01,CUI-25-02,Urine sediment,,3.21
2025,01,CUI-25-03,Urine sediment,,3.01
2025,01,CUI-25-04,Urine sediment,,0
