id,testItem,specimenName,baseCategory,detailCategory,n,mean,median,sd,cv,min,max,decimalPlaces
"urine-stat-row-138","-Specific Gravity","CU-25-03","Roche","cobas u 411","121","1.0034","1.01","0.0028","0.2772","0.015","1.03","3"
"urine-stat-row-139","-Specific Gravity","CU-25-03","Roche","Others","2","1.0125","","0.0035","0.3492","1.01","1.015","3"
"urine-stat-row-140","-Specific Gravity","CU-25-03","Roche","Urisys 1800","1","1.01","1.01","","","","","3"
"urine-stat-row-141","-Specific Gravity","CU-25-03","Siemens Healthineers","","119","1.0212","1.022","0.0016","0.1532","1.01","1.028","3"
"urine-stat-row-142","-Specific Gravity","CU-25-03","Siemens Healthineers","Clinitek 500  Urine Chemistry Analyzer","1","1.02","1.02","","","","","3"
"urine-stat-row-143","-Specific Gravity","CU-25-03","Siemens Healthineers","CLINITEK Advantus® Urine Chemistry Analyzer","55","1.0196","1.02","0.0000","0","1.015","1.025","3"
"urine-stat-row-144","-Specific Gravity","CU-25-03","Siemens Healthineers","CLINITEK Novus™ Automated Urine Chemistry Analyzer","59","1.023","1.023","0.0000","0","1.022","1.028","3"
"urine-stat-row-145","-Specific Gravity","CU-25-03","Siemens Healthineers","CLINITEK Status® Urine Chemistry Analyzer","1","1.02","1.02","","","","","3"
"urine-stat-row-146","-Specific Gravity","CU-25-03","Siemens Healthineers","CLINITEK Status®+ Urine Chemistry Analyzer","3","1.0167","1.02","0.0058","0.5679","1.01","1.02","3"
"urine-stat-row-147","-Specific Gravity","CU-25-03","Sysmex","","167","1.0172","1.023","0.0007","0.0675","0.021","1.036","3"
"urine-stat-row-148","-Specific Gravity","CU-25-03","Sysmex","UC-1000","1","1.022","1.022","","","","","3"
"urine-stat-row-149","-Specific Gravity","CU-25-03","Sysmex","UC-3500","166","1.0172","1.023","0.0007","0.067","0.021","1.036","3"
"urine-stat-row-150","-Specific Gravity","CU-25-03","URIT Medical Electronic Co., Ltd.","","3","1.02","1.02","0.0000","0","1.02","1.02","3"
"urine-stat-row-151","-Specific Gravity","CU-25-03","URIT Medical Electronic Co., Ltd.","URIT-50","3","1.02","1.02","0.0000","0","1.02","1.02","3"
"urine-stat-row-152","-Specific Gravity","CU-25-03","YD diagnostics","","651","1.0184","1.02","0.0046","0.4547","1.005","1.03","3"
"urine-stat-row-153","-Specific Gravity","CU-25-03","YD diagnostics","육안판독","58","1.0244","1.025","0.0000","0","1.015","1.03","3"
"urine-stat-row-154","-Specific Gravity","CU-25-03","YD diagnostics","Uriscan optima","85","1.0171","1.015","0.0033","0.3286","1.005","1.03","3"
"urine-stat-row-155","-Specific Gravity","CU-25-03","YD diagnostics","URiSCAN OPTIMA+","3","1.02","1.02","0.0050","0.4902","1.015","1.025","3"
"urine-stat-row-156","-Specific Gravity","CU-25-03","YD diagnostics","URiSCAN OPTIMAII","14","1.0271","1.03","0.0033","0.3163","1.015","1.03","3"
"urine-stat-row-157","-Specific Gravity","CU-25-03","YD diagnostics","Uriscan pro","382","1.0164","1.015","0.0033","0.3279","1.005","1.03","3"
"urine-stat-row-158","-Specific Gravity","CU-25-03","YD diagnostics","URiSCAN PRO+","6","1.0175","1.018","0.0029","0.2837","1.005","1.03","3"
"urine-stat-row-159","-Specific Gravity","CU-25-03","YD diagnostics","Uriscan pro2","31","1.0225","1.025","0.0064","0.6272","1.01","1.03","3"
"urine-stat-row-160","-Specific Gravity","CU-25-03","YD diagnostics","Uriscan super plus","72","1.0222","1.022","0.0007","0.0732","1.02","1.025","3"
